make,model,variant,ex-showroom_price_inr,displacement_cc,cylinders,valves_per_cylinder,drivetrain,cylinder_configuration,emission_norm,engine_location,fuel_system,fuel_tank_capacity_litres,fuel_type,height_mm,length_mm,width_mm,body_type,doors,arai_certified_mileage_kmpl,kerb_weight_kg,gears,ground_clearance_mm,front_brakes,rear_brakes,front_suspension,rear_suspension,front_track_mm,rear_track_mm,f_tire_diameter_inch,f_tire_aspect_ratio,f_tire_width_mm,r_tire_diameter_inch,r_tire_aspect_ratio,r_tire_width_mm,power_steering,power_windows,power_seats,keyless_entry,power_rpm,power_ps,torque_rpm,torque_nm,odometer,speedometer,tachometer,tripmeter,seating_capacity,seats_material,type,wheelbase_mm,start_/_stop_button,12v_power_outlet,audiosystem,aux-in_compatibility,average_fuel_consumption,basic_warranty_years,bluetooth,boot-lid_opener,boot_space_litres,cd_/_mp3_/_dvd_player,central_locking,child_safety_locks,clock,cup_holders,distance_to_empty,door_pockets,engine_malfunction_light,fm_radio,fuel-lid_opener,fuel_gauge,handbrake,instrument_console,low_fuel_warning,minimum_turning_radius_meter,multifunction_display,sun_visor,third_row_ac_vents,ventilation_system,auto-dimming_rear-view_mirror,hill_assist,gear_indicator,engine_immobilizer,seat_back_pockets,abs_(anti-lock_braking_system),headlight_reminder,adjustable_headrests,gross_vehicle_weight,airbags,door_ajar_warning,ebd_(electronic_brake-force_distribution),fasten_seat_belt_warning,gear_shift_reminder,number_of_airbags,adjustable_steering_column,parking_assistance,key_off_reminder,usb_compatibility,cigarette_lighter,infotainment_screen,multifunction_steering_wheel,average_speed,eba_(electronic_brake_assist),seat_height_adjustment,navigation_system,second_row_ac_vents,rear_center_armrest,ipod_compatibility,esp_(electronic_stability_program),cooled_glove_box,turbocharger,isofix_(child-seat_mount),rain_sensing_wipers,leather_wrapped_steering,automatic_headlamps,asr_/_traction_control,cruise_control
Tata,Nano Genx,Xt,292667,624.0,2.0,2.0,RWD ,In-line,BS IV,Rear-Transverse,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,660.0,4.0,180.0,Drum,Drum,MacPherson Suspension,Coil Spring Suspension,1325.0,1315.0,12.0,70.0,135.0,12.0,65.0,155.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,38.0,4000.0,51.0,Digital,Analog,Yes,Yes,4.0,Fabric,Manual,2230.0,Yes,Yes,Yes,Yes,Yes,2.0,Yes,Yes,110.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tata,Nano Genx,Xe,236447,624.0,2.0,2.0,RWD ,In-line,BS IV,Rear-Transverse,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,725.0,4.0,180.0,Drum,Drum,MacPherson Suspension,Coil Spring Suspension,1325.0,1315.0,12.0,70.0,135.0,12.0,65.0,155.0,Non Powered,Non Powered,Non Powered,Yes,5500.0,38.0,4000.0,51.0,Digital,Analog,Yes,Yes,4.0,Fabric,Manual,2230.0,No,Yes,Yes,No,Yes,2.0,No,Yes,110.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tata,Nano Genx,Emax Xm,296661,624.0,2.0,2.0,RWD ,In-line,BS IV,Rear-Transverse,Injection,15.0,CNG,1652.0,3164.0,1750.0,Hatchback,4.0,36.0,710.0,4.0,180.0,Drum,Drum,MacPherson Suspension,Coil Spring Suspension,1325.0,1315.0,12.0,70.0,135.0,12.0,65.0,155.0,Electric Power,Non Powered,Non Powered,Yes,5500.0,38.0,4000.0,51.0,Digital,Analog,Yes,Yes,4.0,Fabric,Manual,2230.0,No,Yes,Yes,No,Yes,2.0,No,Yes,110.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tata,Nano Genx,Xta,334768,624.0,2.0,2.0,RWD ,In-line,BS IV,Rear-Transverse,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,21.9,725.0,5.0,180.0,Drum,Drum,MacPherson Suspension,Coil Spring Suspension,1325.0,1315.0,12.0,70.0,135.0,12.0,65.0,155.0,Electric Power,Front Windows,Non Powered,Yes,5500.0,38.0,4000.0,51.0,Digital,Analog,Yes,Yes,4.0,Fabric,Automatic,2230.0,Yes,Yes,Yes,Yes,Yes,2.0,Yes,Yes,94.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tata,Nano Genx,Xm,272223,624.0,2.0,2.0,RWD ,In-line,BS IV,Rear-Transverse,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,725.0,4.0,180.0,Drum,Drum,MacPherson Suspension,Coil Spring Suspension,1325.0,1315.0,12.0,70.0,135.0,12.0,65.0,155.0,Electric Power,Non Powered,Non Powered,Yes,5500.0,38.0,4000.0,51.0,Digital,Analog,Yes,Yes,4.0,Fabric,Manual,2230.0,No,Yes,Yes,No,Yes,2.0,No,Yes,110.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tata,Nano Genx,Xma,314815,624.0,2.0,2.0,RWD ,In-line,BS IV,Rear-Transverse,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,21.9,710.0,5.0,180.0,Drum,Drum,MacPherson Suspension,Coil Spring Suspension,1325.0,1315.0,12.0,70.0,135.0,12.0,65.0,155.0,Electric Power,Non Powered,Non Powered,Yes,5500.0,38.0,4000.0,51.0,Digital,Analog,Yes,Yes,4.0,Fabric,Automatic,2230.0,No,Yes,Yes,No,Yes,2.0,No,Yes,94.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Datsun,Redi-Go,D,279650,799.0,3.0,4.0,FWD ,In-line,BS IV,Front-Transverse,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,25.17,1235.5,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,Torsion Beam Suspension,1520.0,1525.0,13.0,60.0,80.0,13.0,60.0,80.0,Non Powered,Non Powered,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2348.0,No,Yes,Yes,No,Yes,2.0,No,Yes,222.0,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,47.0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Datsun,Redi-Go,T,351832,799.0,3.0,4.0,FWD ,In-line,BS IV,Front-Transverse,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,25.17,1235.5,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,Torsion Beam Suspension,1520.0,1525.0,13.0,60.0,80.0,13.0,60.0,80.0,Electric Power,Front Windows,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2348.0,No,Yes,Yes,Yes,Yes,2.0,No,Yes,222.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,47.0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,2.0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Datsun,Redi-Go,A,333419,799.0,3.0,4.0,FWD ,In-line,BS IV,Front-Transverse,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,25.17,1235.5,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,Torsion Beam Suspension,1520.0,1525.0,13.0,60.0,80.0,13.0,60.0,80.0,Electric Power,Non Powered,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2348.0,No,Yes,Yes,No,Yes,2.0,No,Yes,222.0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,47.0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Datsun,Redi-Go,S,362000,799.0,3.0,4.0,FWD ,In-line,BS IV,Front-Transverse,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,25.17,1235.5,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,Torsion Beam Suspension,1520.0,1525.0,13.0,60.0,80.0,13.0,60.0,80.0,Electric Power,Non Powered,Non Powered,Yes,5678.0,54.0,4386.0,72.0,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2348.0,No,Yes,Yes,Yes,Yes,2.0,No,Yes,222.0,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,47.0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
